Inselberg;Pool;Alpha;Biomass;Depth;Gamma;PC1;PC2;ASE;GSE
KOR;Kor35;16.98;1.283190562;18;23.368;-0.011807106;-0.093748636;11.646;6.991
SWA;Soz1;16;1.439928947;38;32.383;-0.275988133;1.027243307;0.485;0.839
SWA;Soz2;15.5;0.534163153;15;32.383;-0.275988133;1.027243307;1.322;0.839
SWA;Soz3;12.16;0.363111598;7;32.383;-0.275988133;1.027243307;0.533;0.839
SWA;Soz4;17;0.712179576;3.7;32.383;-0.275988133;1.027243307;1.87;0.839
SWA;Soz5;20.5;0.888997661;29;32.383;-0.275988133;1.027243307;1.323;0.839
SWA;Soz6;15.99;1.41883122;13;32.383;-0.275988133;1.027243307;1.87;0.839
SWA;Soz7;14;1.084467117;7;32.383;-0.275988133;1.027243307;0.742;0.839
SWA;Soz8;8;1.315592079;2.2;32.383;-0.275988133;1.027243307;0.428;0.839
SWA;Soz9;16;0.555308763;26;32.383;-0.275988133;1.027243307;0.482;0.839
SWA;Soz10;10;1.067915739;8;32.383;-0.275988133;1.027243307;0.308;0.839
SWA;Soz11;17;0.123785974;26;32.383;-0.275988133;1.027243307;0.368;0.839
SWA;Soz12;16;1.948377605;12;32.383;-0.275988133;1.027243307;0.19;0.839
SWA;Soz13;13;2.760456829;21;32.383;-0.275988133;1.027243307;0.483;0.839
SWA;Soz14;11;1.751726458;7;32.383;-0.275988133;1.027243307;0.483;0.839
SWA;Soz16;13;8.984780483;8;32.383;-0.275988133;1.027243307;0.362;0.839
SWA;Soz17;24.99;2.202293106;13;32.383;-0.275988133;1.027243307;4.575;0.839
SWA;Soz18;16;0.947040022;9;32.383;-0.275988133;1.027243307;0.554;0.839
SWA;Soz19;16;2.023046813;11;32.383;-0.275988133;1.027243307;0.525;0.839
SWA;Soz20;15;2.193214326;9;32.383;-0.275988133;1.027243307;0.369;0.839
SWA;Soz21;15.5;1.60260022;13;32.383;-0.275988133;1.027243307;1.322;0.839
SWA;Soz22;21;0.771167209;14;32.383;-0.275988133;1.027243307;3.741;0.839
SWA;Soz23;11;6.798858272;8;32.383;-0.275988133;1.027243307;0.487;0.839
SWA;Soz24;8;68.9588134;6;32.383;-0.275988133;1.027243307;0.482;0.839
NWA;Noz1;12.99;5.136864025;23.5;21.479;-0.58221594;1.498284133;2.276;0.998
NWA;Noz2;4;10.19373031;5.5;21.479;-0.58221594;1.498284133;0.342;0.998
NWA;Noz3;10.5;1.461784508;13;21.479;-0.58221594;1.498284133;1.322;0.998
NWA;Noz4;9;13.9749126;27;21.479;-0.58221594;1.498284133;0.002;0.998
NWA;Noz5;3;5.41763359;7.5;21.479;-0.58221594;1.498284133;0.134;0.998
NWA;Noz6;4;3.002811361;11;21.479;-0.58221594;1.498284133;0.082;0.998
NWA;Noz7;10;1.831399232;13;21.479;-0.58221594;1.498284133;0.484;0.998
NWA;Noz8;3;0.457954621;7;21.479;-0.58221594;1.498284133;0.082;0.998
NWA;Noz9;2;0.807745861;8;21.479;-0.58221594;1.498284133;0;0.998
NWA;Noz10;11;4.830061093;18;21.479;-0.58221594;1.498284133;0.082;0.998
NWA;Noz11;9;12.75401358;22;21.479;-0.58221594;1.498284133;0.217;0.998
NWA;Noz12;12;13.0706057;12;21.479;-0.58221594;1.498284133;0.487;0.998
NWA;Noz13;10.96;1.680285798;7;21.479;-0.58221594;1.498284133;6.977;0.998
NWA;Noz14;8.99;26.7285835;17;21.479;-0.58221594;1.498284133;1.865;0.998
NWA;Noz15;11;109.2317751;28;21.479;-0.58221594;1.498284133;0.501;0.998
NWA;Noz16;1;0.15812489;8;21.479;-0.58221594;1.498284133;0.129;0.998
NWA;Noz17;5.49;6.862313168;9;21.479;-0.58221594;1.498284133;1.317;0.998
NWA;Noz18;6;71.04919281;13;21.479;-0.58221594;1.498284133;0.342;0.998
NWA;Noz19;3;0.345453651;12;21.479;-0.58221594;1.498284133;0.082;0.998
NWA;Noz20;4;279.6715656;21;21.479;-0.58221594;1.498284133;0.134;0.998
NWA;Noz21;5.49;6.334639792;9;21.479;-0.58221594;1.498284133;1.319;0.998
NWA;Noz22;8;327.607492;19;21.479;-0.58221594;1.498284133;0.482;0.998
NWA;Noz23;8;114.4667598;16;21.479;-0.58221594;1.498284133;0.572;0.998
NWA;Noz24;9.25;64.03109049;24;21.479;-0.58221594;1.498284133;0.728;0.998
MAL;Mal1;8;5.9542385;8;28.087;-0.811548907;0.244259046;0.082;1.72
MAL;Mal2;7;7.812689416;8;28.087;-0.811548907;0.244259046;0.002;1.72
MAL;Mal3;6;9.582409047;16;28.087;-0.811548907;0.244259046;0.001;1.72
