Inselberg,Pool,Alpha,ASE,Biomass,Gamma,GSE,Depth,PC1,PC2
FRA,Fran16,9.248847926267281,1.839984182138191,53.845942953818245,36.665,8.633,5,1.0439039614147418,-0.3236683341876717
FRA,Fran17,17.929203539823007,5.682719822732403,29.777255970540494,36.665,8.633,4,1.0439039614147418,-0.3236683341876717
FRA,Fran18,14.995245641838352,3.225626598817639,1.314302599672966,36.665,8.633,17,1.0439039614147418,-0.3236683341876717
FRA,Fran19,9,0.33799766898963113,2.5947467259372043,36.665,8.633,22,1.0439039614147418,-0.3236683341876717
FRA,Fran20,0,0,0,36.665,8.633,12.5,1.0439039614147418,-0.3236683341876717
FRA,Fran21,0,0,0,36.665,8.633,26.5,1.0439039614147418,-0.3236683341876717
FRA,Fran22,11.999649798634215,2.752663974310814,7.131117638670969,36.665,8.633,12.5,1.0439039614147418,-0.3236683341876717
USA,App1,4,0.3265986323710902,2.766015496382306,13.638,1.26,31.5,1.5568768820172854,-1.7996884015819092
USA,App2,4,0,6.33993262263541,13.638,1.26,4,1.5568768820172854,-1.7996884015819092
USA,App3,5,0.3265986323710902,33.552927802423355,13.638,1.26,3.5,1.5568768820172854,-1.7996884015819092
USA,App4,6,0.49236596391733084,9.61351706299988,13.638,1.26,7,1.5568768820172854,-1.7996884015819092
USA,App5,4,0,1.0444953734619742,13.638,1.26,23,1.5568768820172854,-1.7996884015819092
USA,App6,5,0.5121438146554285,4.026656368769485,13.638,1.26,8.5,1.5568768820172854,-1.7996884015819092
USA,App7,5,0.49756985195624287,4.488392430317745,13.638,1.26,9,1.5568768820172854,-1.7996884015819092
USA,App8,4,0,4.979815986666653,13.638,1.26,9.5,1.5568768820172854,-1.7996884015819092
USA,App9,12.837837837837839,4.290262406585993,13.17856188513484,13.638,1.26,7,1.5568768820172854,-1.7996884015819092
USA,App10,6.499973835688121,1.1811167441026147,46.907633823190025,13.638,1.26,8,1.5568768820172854,-1.7996884015819092
USA,App11,5,0.14070529413628988,2.773904432710459,13.638,1.26,12.5,1.5568768820172854,-1.7996884015819092
USA,App12,5,0.33799766898963113,14.506896123767298,13.638,1.26,5.5,1.5568768820172854,-1.7996884015819092
USA,App13,4,0,2.286547164906178,13.638,1.26,9,1.5568768820172854,-1.7996884015819092
USA,App15,2,0.2564323999762429,0.26573406861266735,13.638,1.26,2,1.5568768820172854,-1.7996884015819092
USA,App16,2,0,4.266129303474026,13.638,1.26,5,1.5568768820172854,-1.7996884015819092
USA,App17,2,0.10000000000000002,3.895298386554179,13.638,1.26,6,1.5568768820172854,-1.7996884015819092
USA,App18,12.49902237671084,5.836064844582754,9.295474283003637,13.638,1.26,10.5,1.5568768820172854,-1.7996884015819092
USA,App19,3,0.10000000000000002,8.450894984886054,13.638,1.26,11,1.5568768820172854,-1.7996884015819092
USA,App20,4.49,1.3826311425187219,11.558459411695425,13.638,1.26,17.5,1.5568768820172854,-1.7996884015819092
USA,App21,5.49971198156682,1.4003994803898918,7.045564009805889,13.638,1.26,13.5,1.5568768820172854,-1.7996884015819092
USA,App22,6,0.6100220257974366,15.384088247580607,13.638,1.26,7,1.5568768820172854,-1.7996884015819092
USA,App23,4.249547920433996,1.9994361058504266,1.4998545795160243,13.638,1.26,14,1.5568768820172854,-1.7996884015819092
